RMSE,chroma_stft,spec_cent,spec_bw,spec_rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,filename
0.118379205,0.25338936,1390.8377270680608,1459.0995530305577,2264.121835443038,0.034620994857594935,-363.37726,144.35834,27.980934,15.131627,-4.16899,-31.02505,-20.51179,-20.623474,-23.28576,-15.352588,-21.601223,-14.310049,1.8377678,-9.357093,-16.901194,-8.871928,-11.130017,-10.805934,-3.902681,-4.770747,8
0.14478849,0.24671449,1774.4276660622907,2057.2342685879694,3452.1134641873277,0.020359848484848484,-345.39053,124.867485,-4.3073363,19.490623,7.5259824,-17.402979,6.8196917,-16.13569,-42.73536,-21.941904,-18.46124,-20.900917,-10.857018,-14.837809,-15.201618,-5.8724523,-1.3263571,-1.137605,-7.114715,-6.4062014,6
0.00013521675,0.49540904,5502.609625093258,5720.697349513086,11688.20853221957,0.051564364558472554,-860.162,97.5133,-21.191671,8.036111,6.223122,-6.8363323,8.026308,2.952522,-10.468498,1.5756702,1.166269,-7.5788555,-0.82456505,-0.37697494,-6.3884478,-2.045947,0.25402477,-0.85339737,-0.02532556,-0.84809303,1
0.018265309,0.43428722,4009.5505980337243,4088.9967245227035,7927.490831295843,0.06599795614303179,-525.32166,51.241253,-15.734446,-2.9868426,5.2817817,-3.511705,3.4551063,-0.63303787,-9.1387415,-4.899961,-5.072164,-4.7117853,-0.08478361,-2.3999429,-2.7445853,0.439062,-1.520346,-1.9965743,0.4636305,-0.533586,3
0.107049026,0.29773805,1623.7036483195143,2021.0158549581895,3080.0559497816594,0.024948399972707425,-406.44995,121.712585,16.063465,29.269457,18.560997,-3.9105392,12.661272,-5.819675,-28.114544,-12.038963,-12.09394,-16.4888,-6.080915,-11.323594,-14.311434,-7.020574,-10.257932,-9.524367,-6.419607,-11.246635,7
0.05504511,0.43140003,3746.9902930465246,3294.5062885416846,7121.3942307692305,0.07098210585212202,-412.27908,72.49914,-38.23638,-13.3823595,4.94293,-9.216333,0.9243436,-4.2800407,-17.585838,-11.84167,-8.646927,-3.4625814,0.68020195,-7.3247814,-4.6419563,2.7063706,-2.6796567,-2.7832386,1.8453568,-2.1870594,2
0.00066890346,0.44957012,4698.990388698722,4487.829672113672,8565.651431359793,0.10205459346535459,-734.59424,71.88885,-29.747683,10.57438,9.077522,-12.153907,17.791695,2.9032047,-22.80244,-0.38208124,-0.3677301,-12.675142,1.7293178,2.6219888,-5.0948772,2.3077857,3.7472885,-0.05525733,1.5899504,-0.09499106,0
0.059010897,0.40638933,2889.671178604321,3090.3021530216092,5614.053672316384,0.05189176033819837,-433.58054,92.69672,3.0261707,-1.7058885,-0.30075,-8.745172,0.43869558,-3.4827113,-13.062144,-9.820332,-10.681665,-7.378045,2.2096226,-1.4991287,-7.8778667,-4.852449,-1.6493214,-1.7130635,-3.5038118,-3.6640742,5
0.099379085,0.38265938,2405.7608999035747,2178.9008270970935,4561.3911290322585,0.035357862903225803,-343.75165,130.55724,3.234237,-7.2737074,2.7215428,-4.9633293,1.9505635,-8.325565,-26.534159,-21.096853,-14.443199,-9.865887,0.40930042,-1.3731173,-8.124551,-4.315502,-0.98362225,-3.601979,-5.4001584,-4.7215776,4
0.0033626393,0.37509054,6853.351461122845,7382.791614878055,16088.8086928934,0.16068121430837565,-630.577,80.70869,58.366474,27.584913,26.453657,13.6890545,7.7373624,6.5900455,3.2730181,0.28605554,2.8763351,-3.2063046,-4.878158,-2.92795,-13.538902,-0.79334027,-12.904608,0.72300875,-8.855935,3.5960774,8
0.002670247,0.41593036,6716.515562221974,7269.260419748431,16451.137367491167,0.1889613929991166,-652.97687,79.78371,51.387974,27.83193,36.108143,19.784746,7.954772,1.9146175,-0.598654,-4.2404714,-4.27614,-9.496604,-7.6137447,-1.9889848,-9.5937395,4.277423,-8.836235,5.7298183,-5.688959,6.1606717,6
0.00070076645,0.58180726,8895.431406120093,7438.113356231715,17079.96042576419,0.29731125477620085,-701.5522,79.468765,26.174208,0.63292444,12.378405,4.0600863,5.4943886,4.631563,3.0545645,0.3574863,2.90478,-0.034252778,1.0404875,4.56472,-4.9959507,6.9821224,-7.4231544,6.2847357,-5.673374,6.184102,1
0.0051222667,0.62151974,7938.666412119542,6685.392089908486,14905.449015601784,0.2577305151838782,-596.97614,86.778175,7.9696136,7.3933377,14.10703,0.13759705,6.6178694,1.2612071,0.9000166,2.4049041,2.8624494,1.2346375,2.2613904,2.7333329,-6.6814957,6.3303275,-4.4360676,4.1557646,-5.394597,4.9493623,3
0.0018741862,0.4431115,7912.125416104548,7655.796696126599,18171.567919075143,0.20189611181358383,-655.24756,67.52374,35.669052,22.98736,31.156996,14.835637,9.90322,10.556345,8.019166,0.3987417,-0.8620584,-3.1006937,-3.3147507,-2.9761126,-10.626199,2.7671497,-11.710303,1.5540118,-7.862815,3.6667633,7
0.005746687,0.5115274,9198.86219147411,6888.385298373045,16344.169340723454,0.34634182194428237,-615.0912,59.50176,8.649977,8.400176,10.314603,2.5088305,6.4294586,1.1205033,1.4076995,1.0627158,1.3963048,1.7611836,0.07407254,2.222694,-3.9774356,3.5750983,-3.6134508,3.2462194,-5.1295524,3.2793067,2
0.0037963358,0.5643896,8163.767342532625,6840.343781036367,15647.325901803608,0.26842650144038077,-628.82495,82.22191,10.966878,5.8719215,12.113401,2.0983517,5.8481913,4.5436845,1.0624902,1.0709491,3.0355115,1.296105,1.8254788,3.5131154,-5.3723965,7.31086,-6.014829,6.1674547,-4.9762883,4.433842,0
0.0013288232,0.48320663,9041.769449914998,7669.794321669576,18661.336750788643,0.28048230481072556,-630.83136,62.24786,37.271713,15.474903,21.015076,11.009063,7.3759027,7.321462,3.4125535,-0.098904416,3.0408936,-0.9019503,0.05809178,3.3090737,-5.4985967,6.8335514,-6.1859627,6.0903106,-5.024346,5.08456,5
0.001271568,0.5419032,7960.369692796218,7394.153052114092,17153.95752895753,0.23233452481499356,-641.42145,76.06924,29.98522,15.635502,19.484583,6.997867,8.022779,5.880202,0.4634642,-1.0891246,1.1041975,-1.823635,-0.17335929,2.308765,-5.0890517,7.0119185,-6.259948,6.080244,-5.283583,4.6251335,4
0.019171486,0.28020608,3099.6618300771966,4790.670812423913,6483.251537369915,0.020935578287606435,-481.99634,24.167244,14.183174,9.083908,4.7381134,1.0648352,0.008406741,-0.736047,-0.935032,-1.0095114,-2.6104474,-2.753879,-3.2429924,-5.26954,-6.3851156,-5.8066573,-5.5717254,-5.117846,-4.876241,-5.246338,8
0.03856453,0.27675855,1903.726052284259,2504.8304286999405,3726.698665577342,0.030802497503631083,-465.57343,120.319855,-15.525015,17.024675,47.818253,12.549687,-17.248255,-25.18902,-12.151291,-10.602861,-27.62377,-12.980699,-9.044956,-26.805769,-18.19764,-2.2943654,-0.8460182,0.08156141,-9.038571,-8.249121,6
0.0139969215,0.43794194,3779.9921379751354,2966.7011038312853,6606.585472578763,0.11381283273774796,-495.61047,106.983284,-88.0183,23.431087,-8.806255,-17.121107,18.246058,-12.138183,-12.473427,-10.54338,-23.59291,-11.643925,-2.138192,-12.999058,-15.345806,-12.156453,-7.506151,1.6230679,-1.2463295,-7.744006,1
0.010759163,0.37519425,2743.4607834082653,3263.418166875046,5738.104838709677,0.03746114751344086,-577.7691,68.83374,-14.873438,-4.3961997,-3.1891155,-5.8148007,-0.16553897,-8.835149,-9.265941,-6.5044613,-8.517901,-0.51650864,-2.9672668,-9.051392,-5.19906,-1.6773927,-2.7559109,-3.6609209,-1.2407742,-3.9628055,3
0.066044435,0.24214724,2255.9156905669747,3208.2874883414274,4446.865994236311,0.03912722892651297,-429.75403,61.01348,-2.573019,32.471474,29.729876,-2.8141358,-5.812028,-6.582848,-5.3164296,-9.209223,-24.39708,-11.459104,1.423207,-13.726994,-19.51579,-6.0364876,0.070787765,-5.460884,-9.18508,-3.4718225,7
0.0161832,0.42441437,3207.847145035214,3399.8077196274426,6240.8381712627,0.05992323566763425,-497.26215,88.72455,-34.218445,2.1252222,3.853012,-9.977946,0.49289316,-12.811383,-14.934889,-9.683293,-11.280772,3.2736359,3.3045084,-11.797452,-10.627126,-1.3241837,0.46728072,-1.812047,-2.2487733,-3.6460238,2
0.006419694,0.35842332,4571.134911570057,3250.7361692261256,7656.881429096253,0.12744284131612785,-631.5793,63.420815,-63.841785,22.67217,-12.177154,-15.727197,16.07721,-12.19173,-7.988477,-6.8016624,-16.97771,-3.7206526,-0.970817,-9.509887,-7.2695327,-5.5598264,-4.782849,0.6403007,-1.8204618,-8.876945,0
0.073012814,0.38673258,2245.991680287901,2307.837184006715,4349.293764637002,0.04455594994145199,-366.19012,104.46226,-10.008623,3.2177606,22.59058,2.880725,-8.215671,-11.455607,-7.9475446,-8.08376,-15.3252325,-6.831237,-3.3582354,-15.114681,-14.474798,-2.618439,0.27127337,-3.5478694,-5.111015,-1.3827367,5
